Time:128Hz,Epoch,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Event Id,Event Date,Event Duration
0.3515625000,1,3193.4614257813,3191.6667480469,3181.7949218750,3193.9743652344,3185.5129394531,3186.2819824219,3175.8974609375,3181.1538085938,3186.1538085938,3193.0769042969,3247.0512695313,4157.3076171875,3194.2307128906,3199.6154785156,,,
0.3593750000,1,3189.4870605469,3187.5642089844,3192.4357910156,3196.5385742188,3187.8205566406,3184.6154785156,3181.6667480469,3180.0000000000,3188.2050781250,3197.5642089844,3248.4614257813,4158.5898437500,3183.5898437500,3193.2050781250,,,
0.3671875000,1,3194.7436523438,3192.0512695313,3190.3845214844,3197.6923828125,3189.3588867188,3186.0256347656,3185.1281738281,3182.4357910156,3186.7949218750,3193.7180175781,3250.5129394531,4156.1538085938,3185.8974609375,3196.2819824219,,,
0.3750000000,1,3193.2050781250,3193.9743652344,3186.0256347656,3196.5385742188,3186.4101562500,3188.3332519531,3180.2563476563,3181.6667480469,3188.8461914063,3195.2563476563,3250.1281738281,4157.5639648438,3197.6923828125,3203.3332519531,,,
0.3828125000,1,3190.6411132813,3189.6154785156,3203.4614257813,3201.0256347656,3188.5898437500,3186.1538085938,3182.0512695313,3185.6411132813,3191.4101562500,3198.4614257813,3249.4870605469,4163.3334960938,3182.3076171875,3189.7436523438,,,
0.3906250000,1,3200.7692871094,3198.0769042969,3185.6411132813,3197.8205566406,3186.6667480469,3186.2819824219,3186.0256347656,3188.7180175781,3188.3332519531,3196.7949218750,3252.9487304688,4159.6152343750,3196.2819824219,3203.9743652344,,,
0.3984375000,1,3194.3588867188,3196.2819824219,3197.3076171875,3201.0256347656,3187.8205566406,3188.2050781250,3183.7180175781,3185.3845214844,3187.9487304688,3195.8974609375,3251.6667480469,4161.1538085938,3189.2307128906,3198.9743652344,,,
0.4062500000,1,3196.6667480469,3196.5385742188,3203.0769042969,3200.3845214844,3193.4614257813,3190.5129394531,3182.1794433594,3185.7692871094,3195.0000000000,3199.8718261719,3251.2819824219,4162.8203125000,3190.3845214844,3200.3845214844,,,
0.4140625000,1,3201.2819824219,3198.7180175781,3190.2563476563,3199.4870605469,3192.5642089844,3189.7436523438,3185.0000000000,3186.0256347656,3194.7436523438,3201.1538085938,3252.5642089844,4161.7949218750,3204.4870605469,3208.4614257813,,,
0.4218750000,1,3195.8974609375,3195.1281738281,3202.9487304688,3206.9230957031,3193.9743652344,3190.6411132813,3187.5642089844,3187.8205566406,3190.8974609375,3198.7180175781,3253.7180175781,4166.4101562500,3188.8461914063,3196.9230957031,,,
0.4296875000,1,3202.0512695313,3201.4101562500,3193.7180175781,3201.7949218750,3197.3076171875,3193.7180175781,3188.0769042969,3190.1281738281,3192.5642089844,3198.5898437500,3258.7180175781,4163.9741210938,3200.5129394531,3210.2563476563,,,
0.4375000000,1,3198.0769042969,3200.3845214844,3205.5129394531,3205.0000000000,3197.9487304688,3194.7436523438,3189.2307128906,3189.3588867188,3194.1025390625,3200.6411132813,3258.4614257813,4163.9741210938,3193.9743652344,3201.4101562500,,,
0.4453125000,1,3198.9743652344,3199.8718261719,3205.6411132813,3207.9487304688,3196.6667480469,3195.3845214844,3190.2563476563,3191.2819824219,3196.4101562500,3206.0256347656,3258.3332519531,4167.0512695313,3191.0256347656,3202.0512695313,,,
0.4531250000,1,3206.0256347656,3200.2563476563,3191.9230957031,3203.3332519531,3197.3076171875,3194.6154785156,3188.7180175781,3191.2819824219,3195.5129394531,3204.3588867188,3257.3076171875,4165.1284179688,3206.9230957031,3216.1538085938,,,
0.4609375000,1,3202.9487304688,3197.8205566406,3210.3845214844,3208.7180175781,3201.2819824219,3197.5642089844,3188.0769042969,3187.5642089844,3193.8461914063,3201.7949218750,3256.4101562500,4166.9228515625,3190.6411132813,3197.4357910156,,,
0.4687500000,1,3208.0769042969,3206.0256347656,3198.4614257813,3207.3076171875,3198.0769042969,3200.3845214844,3188.3332519531,3192.9487304688,3198.4614257813,3206.9230957031,3264.8718261719,4167.6923828125,3202.5642089844,3207.9487304688,,,
0.4765625000,1,3203.3332519531,3202.1794433594,3202.9487304688,3210.0000000000,3198.7180175781,3198.0769042969,3192.5642089844,3199.3588867188,3198.4614257813,3208.0769042969,3264.2307128906,4170.8974609375,3202.0512695313,3210.3845214844,,,
0.4843750000,1,3202.8205566406,3200.6411132813,3209.8718261719,3213.0769042969,3202.6923828125,3200.1281738281,3193.4614257813,3196.1538085938,3196.5385742188,3204.3588867188,3256.9230957031,4170.3847656250,3195.2563476563,3206.1538085938,,,
0.4921875000,1,3212.0512695313,3208.8461914063,3199.1025390625,3210.6411132813,3200.2563476563,3201.7949218750,3189.1025390625,3193.9743652344,3198.8461914063,3207.6923828125,3263.9743652344,4170.8974609375,3212.9487304688,3219.1025390625,,,
0.5000000000,2,3209.4870605469,3208.4614257813,3213.7180175781,3217.6923828125,3204.3588867188,3202.4357910156,3194.1025390625,3197.5642089844,3199.2307128906,3211.0256347656,3268.5898437500,4174.7436523438,3196.6667480469,3205.5129394531,,,
0.5078125000,2,3209.1025390625,3210.8974609375,3199.3588867188,3213.8461914063,3205.8974609375,3203.3332519531,3196.7949218750,3198.4614257813,3202.5642089844,3208.7180175781,3265.6411132813,4169.6152343750,3203.3332519531,3216.0256347656,,,
0.5156250000,2,3204.6154785156,3205.2563476563,3205.6411132813,3212.5642089844,3204.7436523438,3198.8461914063,3192.4357910156,3199.4870605469,3204.8718261719,3211.5385742188,3267.1794433594,4170.8974609375,3208.0769042969,3217.8205566406,,,
0.5234375000,2,3209.2307128906,3206.9230957031,3219.2307128906,3219.1025390625,3208.9743652344,3201.5385742188,3198.0769042969,3204.4870605469,3203.7180175781,3213.0769042969,3268.2050781250,4174.7436523438,3198.4614257813,3207.3076171875,,,
0.5312500000,2,3216.4101562500,3215.3845214844,3201.5385742188,3215.7692871094,3206.2819824219,3206.1538085938,3201.1538085938,3202.8205566406,3203.9743652344,3213.2050781250,3269.2307128906,4174.8715820313,3215.2563476563,3223.3332519531,,,
0.5390625000,2,3207.1794433594,3208.7180175781,3216.2819824219,3219.6154785156,3208.0769042969,3203.3332519531,3200.3845214844,3201.2819824219,3206.6667480469,3213.2050781250,3267.6923828125,4177.8203125000,3204.4870605469,3212.0512695313,,,
0.5468750000,2,3213.3332519531,3211.2819824219,3211.9230957031,3218.9743652344,3210.5129394531,3204.3588867188,3202.8205566406,3205.8974609375,3210.0000000000,3212.8205566406,3267.6923828125,4174.7436523438,3211.2819824219,3216.5385742188,,,
